Özellik,Önem
battery,0.12425395843563573
px_height,0.11736130929781378
px_width,0.10363865819095368
pweight,0.08682743494522503
memory_scaled,0.07820802317272066
pcamera,0.07091028137843693
talk_time,0.06638698758547451
sheight,0.06171300602125737
swidth,0.059460215599149435
fcamera,0.04993152558158248
pdepth,0.049270619600846756
cores,0.0470107383516862
touch_screen,0.014271712245507323
wifi,0.013805636640852855
high_speed,0.0126664364564272
dual_sim,0.011797222513143628
blue,0.011634568380554882
g3,0.010534599762500554
g4,0.010317065840230965
